key,SDI_mean,KSI_mean,MI_mean,Chi2_mean,Entropy_mean,MI_boot_mean,C,D,CDCI
DGRO,0.005000000000000001,0.4779999999999999,1.9386886930781002,31.088,4.595693184051441,2.4165863564148125,0.0006510579373956466,0.4238142500220001,0.2122326539796979
QZXPUI,0.0049019607843137246,0.3196078431372549,1.8532079140597582,31.32549019607843,4.596462447714371,2.3678118817668117,0.0006714207347759191,0.44543523408807867,0.2230533274114273
AYFSMCAO,0.005000000000000001,0.236,1.8280986026325856,31.088,4.595693184051441,2.3477486069967357,0.0006840511961531815,0.44496617555055656,0.22282511337335487
UYYY,0.005000000000000001,0.429,1.9294435805913612,31.088,4.595693184051441,2.410324598436058,0.0006898001081161141,0.4251366847366883,0.2129132424224022
BAUKWQ,0.0049019607843137246,0.3137254901960784,1.8077873484950828,31.32549019607843,4.596462447714371,2.341965560802742,0.0006488637796208958,0.44711360239094855,0.22388123308528474
TORSCOIS,0.005000000000000001,0.188,1.8801984680893742,31.088,4.595693184051441,2.38148404959544,0.000607445014458883,0.4396827058658939,0.2201450754401764
DVTP,0.005000000000000001,0.472,1.9311341650543241,31.088,4.595693184051441,2.419394910778899,0.0006571113241850494,0.4259956801513264,0.21332639573775572
DXPHRM,0.0049019607843137246,0.307843137254902,1.7953336110840776,31.32549019607843,4.596462447714371,2.32715371635035,0.0006415597782955145,0.44784145636709205,0.22424150807269377
SOWGMRM,0.004926108374384236,0.2482758620689655,1.8328388728338525,30.89753694581281,4.597525317533914,2.356132048749458,0.0006879987393762669,0.44750056164829316,0.2240942801938347
APQDN,0.005000000000000001,0.388,1.8633437151280856,31.088,4.595693184051441,2.377427952918373,0.0006444229194750362,0.439103338361792,0.2198738806406335
