key,SDI_mean,KSI_mean,MI_mean,Chi2_mean,Entropy_mean,MI_boot_mean,C,D,CDCI
ZVMGCOYHTIARWDUPNFSJXBLEQK,0.005000000000000001,0.098,4.598880592536363,30.932000000000006,4.59888059362317,4.505928217287938,0.048129764319565664,0.31829226992331033,0.183211017121438
FRUXDCLAVZMJHBGPYKOEIWTSQN,0.005000000000000001,0.099,4.598880592536363,30.932000000000006,4.59888059362317,4.509629153739541,0.04898391872589695,0.31829226992331033,0.18363809432460365
JKWYGRUEFDNLBPCMSIXQTVZOHA,0.005000000000000001,0.079,4.598880592536363,30.932000000000006,4.59888059362317,4.505260450961178,0.04856626963044643,0.31829226992331033,0.18342926977687837
GDFRICHPKXOUSEJZBTNYVWQAML,0.005000000000000001,0.081,4.598880592536363,30.932000000000006,4.59888059362317,4.5022725262667125,0.0486221793718913,0.31829226992331033,0.1834572246476008
XSTLQCYVUZIOHPBNARMGKFEDWJ,0.005000000000000001,0.069,4.598880592536363,30.932000000000006,4.59888059362317,4.5056196346057025,0.048404987003415466,0.31829226992331033,0.1833486284633629
HXMAOETYPLNQDBZCWKSFGVRUJI,0.005000000000000001,0.065,4.598880592536363,30.932000000000006,4.59888059362317,4.507131795436969,0.04912138470908796,0.31829226992331033,0.18370682731619914
WJZONDXFMTACIVSEKBUYRQHGPL,0.005000000000000001,0.073,4.598880592536363,30.932000000000006,4.59888059362317,4.505456054413196,0.04848880979173658,0.31829226992331033,0.18339053985752346
YKCIGHUSPBELRFMJTNAQZOXVWD,0.005000000000000001,0.064,4.598880592536363,30.932000000000006,4.59888059362317,4.508277191329147,0.04872626904512937,0.31829226992331033,0.18350926948421986
RJCIEWZHUVPMXFKOSDQTGBALNY,0.005000000000000001,0.079,4.598880592536363,30.932000000000006,4.59888059362317,4.506551763321539,0.04881905515912411,0.31829226992331033,0.18355566254121722
ITUJEKAOWPQSHYXNBVLRCDGMZF,0.005000000000000001,0.064,4.598880592536363,30.932000000000006,4.59888059362317,4.507645439781139,0.04848614117008514,0.31829226992331033,0.18338920554669774
