key,SDI_mean,KSI_mean,MI_mean,Chi2_mean,Entropy_mean,MI_boot_mean,C,D,CDCI
1,0.005000000000000001,1.0,4.584193874722132,32.647999999999996,4.584193875826337,4.49214949011658,0.060564937984270165,0.32030249847336356,0.19043371822881686
18,0.005000000000000001,1.0,4.584193874722132,32.647999999999996,4.584193875826337,4.492443610044279,0.06097400586977163,0.32030249847336356,0.1906382521715676
20,0.005000000000000001,1.0,4.584193874722132,32.647999999999996,4.584193875826337,4.491326403008893,0.06111590087948353,0.32030249847336356,0.19070919967642355
22,0.005000000000000001,1.0,4.584193874722132,32.647999999999996,4.584193875826337,4.4932442723383605,0.060847013362839576,0.32030249847336356,0.19057475591810158
8,0.005000000000000001,1.0,4.584193874722132,32.647999999999996,4.584193875826337,4.4918001568517605,0.06073593014665827,0.32030249847336356,0.19051921431001093
24,0.005000000000000001,1.0,4.584193874722132,32.647999999999996,4.584193875826337,4.4943297933096105,0.05952990168558109,0.32030249847336356,0.18991620007947232
7,0.005000000000000001,1.0,4.584193874722132,32.647999999999996,4.584193875826337,4.4923349850527,0.061492596766328914,0.32030249847336356,0.19089754761984623
9,0.005000000000000001,1.0,4.584193874722132,32.647999999999996,4.584193875826337,4.49467185743901,0.060825994071183234,0.32030249847336356,0.1905642462722734
13,0.005000000000000001,1.0,4.584193874722132,32.647999999999996,4.584193875826337,4.494621626904306,0.060334437541830335,0.32030249847336356,0.19031846800759694
0,0.005000000000000001,1.0,4.584193874722132,32.647999999999996,4.584193875826337,4.488396660143282,0.06055702901389284,0.32030249847336356,0.1904297637436282
