key,SDI_mean,KSI_mean,MI_mean,Chi2_mean,Entropy_mean,MI_boot_mean,C,D,CDCI
NZNBNICJY,0.011940298507462687,0.3174129353233831,2.0105189437140467,32.63781094527363,4.58139661109868,2.461319107769448,0.05708216744251081,0.4076400201953049,0.23236109381890785
SCVHCLUDG,0.014577114427860697,0.3154228855721393,1.9607205185998153,27.825870646766173,4.596402231909726,2.435656344774025,0.057277778593526674,0.4094940408675738,0.23338590973055023
TPGFTHNIK,0.013930348258706465,0.2885572139303483,1.9641575970603842,29.274626865671642,4.591325483297005,2.4307813524846447,0.05760288142749008,0.4102104500345942,0.23390666573104216
OMFHEHANF,0.012288557213930346,0.2845771144278607,2.1891843449323254,36.777114427860695,4.560480474297305,2.5738500506974114,0.05605282247592205,0.414016074409001,0.23503444844246152
RJYCARDWD,0.012835820895522387,0.31343283582089554,2.0273251336727722,26.014925373134325,4.605290403787793,2.4683244506636037,0.05679912162982396,0.4070847432043532,0.2319419324170886
FSXNXTEZX,0.014029850746268654,0.31044776119402984,1.9901403800493322,28.653731343283585,4.595131349987203,2.447394782849743,0.057003081606196715,0.4080531763184053,0.23252812896230102
WMTDGCMVH,0.014676616915422885,0.3124378109452736,1.9379195491965564,37.34626865671642,4.56153274403529,2.406366661005726,0.05708102524134849,0.4152315398529516,0.23615628254715004
QGRRQAKTF,0.012935323383084577,0.31442786069651746,2.0250722504410503,31.344278606965172,4.580339710989579,2.4571978456634946,0.05664775384641112,0.4104116332076065,0.2335296935270088
YLGDNTKTL,0.013880597014925371,0.3174129353233831,1.9935298160626218,29.63681592039801,4.58114760354168,2.4507637998125853,0.05596035269511122,0.41179415975007083,0.23387725622259103
IHZFMKTHS,0.01462686567164179,0.31044776119402984,1.9552180461774824,27.4636815920398,4.595904892722295,2.4265670299107387,0.056405811219412474,0.4120122357948235,0.23420902350711797
