mode,SDI_mean,KSI_mean,MI_mean,Entropy_mean,CDCI,C_index,D_index
fixed,0.005000000000000001,0.33399999999999996,3.2101018150940277,4.617632646164237,0.23265839321567072,0.07030003106627612,0.3950167553650653
random_mean,0.005000000000000002,0.24530000000000002,2.906444370350978,4.603169735662149,0.2389389908950461,0.07037856409287599,0.40749941769721626
