key,SDI_mean,KSI_mean,MI_mean,Chi2_mean,Entropy_mean,MI_boot_mean,CDCI,C_index,D_index
UAKMQU,0.0049019607843137246,0.3196078431372549,1.8338394812766694,32.85490196078431,4.58750582319771,2.351739252040442,0.541070591817128,0.9997620266112555,0.29282707037959155
KUER,0.004999999999999999,0.48200000000000004,1.9248081148135008,32.232,4.588865675790669,2.4025111536764556,0.5409714482033162,0.9997680918938875,0.29271799144621463
MNIJBR,0.0049019607843137246,0.3137254901960784,1.8479784467640872,32.85490196078431,4.58750582319771,2.3640083875928517,0.5410686966701532,0.9997550231159971,0.29282707037959155
LYCHZSG,0.0049261083743842365,0.27586206896551724,1.8330357587090678,32.3320197044335,4.588969224758154,2.355255863719531,0.541117182216856,0.999755558780625,0.2928793966871661
FFHOGZ,0.0049019607843137246,0.30588235294117644,1.8828590312853237,32.85490196078431,4.58750582319771,2.3830749617932225,0.5410690278731028,0.9997562470711657,0.29282707037959155
LQUIRD,0.0049019607843137246,0.3254901960784313,1.8201377249299615,32.85490196078431,4.58750582319771,2.3357025027933207,0.5410712359127423,0.9997644068652545,0.29282707037959155
KAXTLTN,0.0049261083743842365,0.3359605911330049,1.821616210940125,32.3320197044335,4.588969224758154,2.3490431417715976,0.5411191180354239,0.9997627119404193,0.2928793966871661
GENBK,0.004999999999999999,0.39,1.8359533618412276,32.232,4.588865675790669,2.351386389549497,0.5409688433534195,0.9997584638828355,0.29271799144621463
LFCM,0.004999999999999999,0.488,1.9187082493433916,32.232,4.588865675790669,2.3999544849628465,0.5409733270075155,0.9997750363334045,0.29271799144621463
YEPP,0.004999999999999999,0.585,1.8864435868369007,32.232,4.588865675790669,2.385051985337748,0.5409682435952013,0.9997562470711657,0.29271799144621463
