SDI_mean,KSI_mean,MI_mean,Entropy_mean,Chi2_mean,CDCI,C_index,D_index
0.008407960199004975,1.0,0.818734232137991,2.575709109782114,5.1940298507462686,0.5500775875461097,0.9986206816464621,0.30300329032006884
0.008308457711442785,1.0,0.8348716104290446,2.5761486285714446,4.871641791044777,0.5511095814544691,0.9986581481899164,0.3041298679847759
0.008109452736318407,0.9960199004975125,0.855406486781799,2.5756316323448614,5.217910447761194,0.5524347629952207,0.9985193072642891,0.3056367214387865
0.008855721393034824,0.9990049751243781,0.7944713924696926,2.5784494057167677,3.6059701492537313,0.5515481312070666,0.9985856911923779,0.3046361906856146
0.008308457711442785,0.9970149253731343,0.8288477582300182,2.579993457549099,2.782089552238806,0.5520418479721892,0.9983059995085319,0.30526732491097797
0.008756218905472634,1.0,0.7974211533303992,2.5761315822963633,4.853731343283582,0.551577779643256,0.9985851640727132,0.30466910379016093
0.008407960199004975,0.9990049751243781,0.81367066904876,2.5765229422808713,4.656716417910448,0.5507283111856635,0.9986381075332454,0.3037153003209582
0.008109452736318409,1.0,0.7986151237864274,2.576525224933872,4.6268656716417915,0.5515968897659068,0.9984921950106496,0.30471858500223614
0.007761194029850744,1.0,0.786635636605102,2.575501268935416,5.307462686567164,0.5500386103032304,0.9983414153871565,0.30304509876211344
0.008308457711442785,1.0,0.7436657072873598,2.5725328121212874,6.84776119402985,0.5509058736025961,0.9984178056884188,0.3039782342028398
