key,SDI_mean,KSI_mean,MI_mean,Chi2_mean,Entropy_mean,MI_boot_mean,CDCI,C_index,D_index
BUDCQXLYTMROVGFHSZKPJWAENI,0.004999999999999999,0.092,4.587264795223788,33.012,4.5872647952237875,4.495800307212357,0.5330834348694053,0.9708250153266705,0.29271799144621463
UNXZQMCAVLFTOSRYJGEHPIKDBW,0.004999999999999999,0.086,4.587264795223788,33.012,4.5872647952237875,4.497408629458704,0.5330112164870889,0.9705619920982835,0.29271799144621463
MYCPJAXNEOSTDBUWIHLGRKVZFQ,0.004999999999999999,0.07100000000000001,4.587264795223788,33.012,4.5872647952237875,4.494372458389674,0.5331030888757701,0.9708966024423794,0.29271799144621463
SHGVZTYJWMIBPUCXDOALFKNEQR,0.004999999999999999,0.07400000000000001,4.587264795223788,33.012,4.5872647952237875,4.495056527936239,0.5331740924916702,0.971155245701903,0.29271799144621463
WQOXSPAGKTIEZJYFDRNHCMLBUV,0.004999999999999999,0.08700000000000001,4.587264795223788,33.012,4.5872647952237875,4.497063311614447,0.5331042816028986,0.9709009468779538,0.29271799144621463
THMQEXJPKUWCLDRVZSIFGBNOAY,0.004999999999999999,0.082,4.587264795223788,33.012,4.5872647952237875,4.494289699969152,0.5330696871141227,0.9707749425171982,0.29271799144621463
AFKTPBDEHGYMUVLCIWSXJRZONQ,0.004999999999999999,0.065,4.587264795223788,33.012,4.5872647952237875,4.493727705994155,0.5331372544351737,0.9710210522502233,0.29271799144621463
VRFAISPDHKBJQYOWZLEMUNGXCT,0.004999999999999999,0.072,4.587264795223788,33.012,4.5872647952237875,4.495607453182838,0.5331757715605547,0.9711613624249232,0.29271799144621463
MBKCPEUDJIFXZAYQOTGSWHLRNV,0.004999999999999999,0.075,4.587264795223788,33.012,4.5872647952237875,4.492622123421781,0.5330466437767973,0.9706910157379817,0.29271799144621463
LGCKAENJIZTSDRFXBHMQYPWUOV,0.004999999999999999,0.07400000000000001,4.587264795223788,33.012,4.5872647952237875,4.496549290697629,0.5330786631738065,0.9708076354554649,0.29271799144621463
