key,SDI_mean,SDI_std_mean,KSI_mean,MI_mean,Chi2_mean,Entropy_mean,MI_boot_mean,CDCI,C_index,D_index
LJDBMOUPA,0.013515754560530677,0.0022798884054506664,0.30845771144278605,1.966138780181467,28.446766169154227,4.593852216349366,2.4393135954260656,0.5339412655645156,0.9672119992241454,0.2947577938459467
BTMLMGYLD,0.014842454394693196,1.734723475976807e-18,0.3124378109452737,1.9595849582160487,31.55124378109453,4.572900717623961,2.4266470938161175,0.5318991769567478,0.9699352057909837,0.29168622064454985
MZOVJMMAZ,0.013101160862354891,0.002279888405450667,0.31044776119402984,2.0056251570875445,27.4636815920398,4.600712309660226,2.466715658907059,0.5385188401796568,0.9688147640544318,0.29933745024157093
QPNXXLJAH,0.012603648424543945,0.001990049751243781,0.3074626865671642,1.978383485274744,34.655721393034824,4.57487988918294,2.43713577275699,0.5375939675115969,0.9702852228188791,0.2978580597829101
XXEGFRFHX,0.014759535655058036,0.0014925373134328356,0.31144278606965176,1.962183724915528,36.00099502487562,4.568319464518418,2.4249422525611677,0.5345619030070375,0.9698783561393597,0.294631204354297
JYORBMPXF,0.014676616915422883,0.001990049751243781,0.31044776119402984,1.9488666290036103,45.159203980099505,4.534500265061553,2.4028529251344306,0.5264383582747953,0.9692354230265877,0.2859339830953119
VZWQPIGLZ,0.014925373134328354,1.734723475976807e-18,0.3134328358208956,2.0242792944290224,28.291542288557213,4.59446488153854,2.470364953811463,0.5392318643186534,0.9686681788454519,0.30017606632142946
MBJRLFPJO,0.014842454394693196,1.734723475976807e-18,0.3044776119402985,1.9916361587292672,25.756218905472632,4.6014341676848325,2.453341036669748,0.5425001061442194,0.9689100371551129,0.3037499394996708
YLWMMRPIX,0.014427860696517409,0.0029850746268656712,0.3154228855721393,1.9995372402712317,28.601990049751244,4.594158306023618,2.4626988653952315,0.5415357493956777,0.9697516604520364,0.30240831733852225
BXXENZOYB,0.014013266998341623,0.001990049751243781,0.31144278606965176,1.9971073482834236,34.55223880597015,4.5725547009074585,2.451032692546686,0.5351856880578841,0.9698899078583608,0.29531570375286254
