key,SDI_mean,KSI_mean,MI_mean,Chi2_mean,Entropy_mean,MI_boot_mean,CDCI,C_index,D_index
OPMJ,0.004999999999999999,0.25,2.8938552518853653,19.96,4.626505320451372,3.0737573944662913,0.530727612904434,0.9421311788089771,0.29897301504799206
DDBJR,0.004999999999999999,0.2,3.1430013705020388,58.076,4.459434377816978,3.256421429682299,0.49471386240094467,0.951096366880792,0.2573259810194776
SAZ,0.004999999999999999,0.333,3.199836790875208,18.036,4.632994695473232,3.302790023925408,0.5331236786200894,0.9488453790682155,0.29954391197491703
JNONOF,0.004999999999999999,0.166,2.950861961800955,21.052,4.621631534072991,3.120730816809459,0.5347116413985774,0.9496642699906988,0.3010711769223045
OBZVB,0.004999999999999999,0.2,3.2315636804283656,40.135999999999996,4.530912757852289,3.334634851099397,0.5089771922715867,0.9412060150069472,0.2752402535918298
TOJLQZ,0.004999999999999999,0.166,2.485459256418451,17.672,4.634855098756391,2.791002368399698,0.5345515217997083,0.9483065623932425,0.3013216830823654
GTEECFE,0.004999999999999999,0.14200000000000002,3.073942201079747,50.431999999999995,4.506733974667127,3.2195325875863374,0.5039541549163267,0.9582450922837478,0.2650363589675714
COYWS,0.004999999999999999,0.2,2.945475267698675,50.483999999999995,4.490869086769041,3.106629977393335,0.4981684345679204,0.9526664746182332,0.2605022805062008
UAKMQ,0.004999999999999999,0.2,2.9338579351173797,52.876,4.479251754187746,3.0933169152992486,0.4946353046520988,0.9453560781234317,0.2588062744505142
KUE,0.004999999999999999,0.334,3.185445390743566,22.612000000000002,4.618603295341589,3.2920108225967413,0.5309369196879633,0.9495432838217072,0.2968732626417831
